R,G,B,Red,Yellow,Blue,Black,White
228,237,240,0,0,1.05,0,100
226,235,237,0,0,1.05,0,100
225,233,235,0,0,1.05,0,100
226,237,240,0,0,1.05,0,100
227,236,238,0,0,1.05,0,100
188,194,196,0,0,1.05,1.05,100
188,194,196,0,0,1.05,1.05,100
189,194,196,0,0,1.05,1.05,100
188,194,196,0,0,1.05,1.05,100
188,193,196,0,0,1.05,1.05,100
170,176,179,0,0,1.05,2.1,100
172,178,181,0,0,1.05,2.1,100
171,177,180,0,0,1.05,2.1,100
172,178,181,0,0,1.05,2.1,100
171,176,179,0,0,1.05,2.1,100
159,166,169,0,0,1.05,3.15,100
160,166,170,0,0,1.05,3.15,100
159,166,170,0,0,1.05,3.15,100
160,166,169,0,0,1.05,3.15,100
159,165,168,0,0,1.05,3.15,100
151,158,162,0,0,1.05,4.2,100
151,157,162,0,0,1.05,4.2,100
152,158,162,0,0,1.05,4.2,100
150,156,160,0,0,1.05,4.2,100
150,155,158,0,0,1.05,4.2,100
143,149,152,0,0,1.05,5.25,100
145,150,154,0,0,1.05,5.25,100
144,150,154,0,0,1.05,5.25,100
144,151,155,0,0,1.05,5.25,100
144,150,154,0,0,1.05,5.25,100
219,231,235,0,0,2.1,0,100
220,232,238,0,0,2.1,0,100
219,232,238,0,0,2.1,0,100
220,234,239,0,0,2.1,0,100
219,232,238,0,0,2.1,0,100
193,200,202,0,0,2.1,1.05,100
195,203,206,0,0,2.1,1.05,100
194,201,204,0,0,2.1,1.05,100
194,202,205,0,0,2.1,1.05,100
194,201,205,0,0,2.1,1.05,100
173,180,183,0,0,2.1,2.1,100
175,182,185,0,0,2.1,2.1,100
176,183,186,0,0,2.1,2.1,100
176,183,186,0,0,2.1,2.1,100
175,182,185,0,0,2.1,2.1,100
166,173,177,0,0,2.1,3.15,100
168,174,176,0,0,2.1,3.15,100
166,173,176,0,0,2.1,3.15,100
165,172,175,0,0,2.1,3.15,100
165,172,176,0,0,2.1,3.15,100
155,162,166,0,0,2.1,4.2,100
155,162,166,0,0,2.1,4.2,100
155,162,166,0,0,2.1,4.2,100
155,163,167,0,0,2.1,4.2,100
154,161,165,0,0,2.1,4.2,100
212,230,239,0,0,3.15,0,100
215,232,241,0,0,3.15,0,100
216,233,242,0,0,3.15,0,100
213,230,238,0,0,3.15,0,100
214,231,240,0,0,3.15,0,100
188,196,200,0,0,3.15,1.05,100
